Ticket Number,Agent,Priority,Subject,Tags,Conversation Summary,processed_text
5837,101037953612.0,2,RE: Request of formal quotation of cintoo subscription renewal,Billing,"Simon Shaw      Hello Simon,      following our discussion, can you confirm to the customer that the",simon shaw hello simon following discussion confirm customer
5836,101053189816.0,2,Passwort,"Reset password, Cintoo Cloud","Hi Emil,    If you have the assigned password and you tried to log in it is not letting you. Can you",hi emil assigned password tried log letting
5831,101053189816.0,2,Issue with Cintoo Trial,"Cintoo Cloud, Account","Hi Odair.,  
   
   
   Você verificou sua pasta de spam ou lixo eletrônico para o e-mail de redefin | Sim, não recebi retorno. 
 
 
  | John, no tutorial que recebi, como entrar nesta seção do Cintoo. esta tela não aparece. Preciso inst | Thomas Corvazier Salomon Mayengue The user has a trial account and he is having issues logging into  | Nicholas Czarnick He created a trial account and he is not able to login this would be the SRE Team  | John Tapia He needs to use https://us.cintoo.cloud/login to access his trial account     Or he can u | Hi Odair.,    Por favor, tente acessar sua conta de teste em  https://us.cintoo.cloud/login  Se nece",hi odair voc verificou sua pasta de spam ou lixo eletrnico para email de redefin sim recebi retorno john tutorial que recebi como entrar nesta seo cintoo esta tela aparece preciso inst thomas corvazier salomon mayengue user trial account issues logging nicholas czarnick created trial account able login would sre team john tapia needs use httpsuscintoocloudlogin access trial account u hi odair por favor tente acessar sua conta de teste em httpsuscintoocloudlogin se nece
5830,101037953612.0,2,FW: Invoices Techscape,Billing,"Hi Jurgen,    Please find attached your invoice.     Warm Regards,     Caroline     Caroline NOEL  R",hi jurgen please find attached invoice warm regards caroline caroline noel r
5829,101037953612.0,2,FW: Cintoo Renewal 2-25-24,Billing,"Hi Michael,    Invoice ready to be billed.  For your information, this subscription's end date got c | Thanks Caroline.

Michael DeJesus
Strategic Account Manager – Energy
[cid:image001.jpg@01DA6311. | Hi Michael,    Invoice sent  Thanks,     Caro",hi michael invoice ready billed information subscriptions end date got c thanks caroline michael dejesus strategic account manager energy cidimagejpgda hi michael invoice sent thanks caro
5827,101053189816.0,2,Auto-Onboarding Multi-user / Project Lister Viewer,"Cintoo Cloud, User Provisioning","Tatiana Samusina Martial Marchesseau Hello, is there a screenshot or a short video of what a user in | Hi João-Carlos Pereira Fialho   Please find below some informations about ""Project lister"" implement | Hi Viola,    Just to keep you updated the team is working on this issue and as soon as we hear from  | John, please reply back to the customer with the information given in Martial’s last comment. That’s | Hi Viola,    Regarding your query about the ""Project Lister Viewer"" functionality, please find the r | Hi John,

many thanks for the details on that issue.

Best regards,
Viola

",tatiana samusina martial marchesseau hello screenshot short video user hi joocarlos pereira fialho please find informations project lister implement hi viola keep updated team working issue soon hear john please reply back customer information given martials last comment thats hi viola regarding query project lister viewer functionality please find r hi john many thanks details issue best regards viola
5824,101037953612.0,2,RE: PO037237,Billing,"Hi Komal,    Following your email, I'm confirming that the yearly subscription for 500 scans for Mic",hi komal following email im confirming yearly subscription scans mic
5823,101037953612.0,2,"New customer order - Charles University 500 scans CSD, BCM",Billing,"Petra Doucet      Hello Petra,     Invoice sent  Follow-up sales & Orion updated",petra doucet hello petra invoice sent followup sales orion updated
5821,,2,Re: VLX G1 SiteMaker,,This ticket is closed and merged into ticket 5788,ticket closed merged ticket
5819,101037953612.0,2,"FW: BKF Engineers - Renewal 3,500 + BCM",Billing,"Jason DiSalvo      Hello,     Invoice sent  Follow-up sales & Orion adjusted | Hello,     The customer has renewed its custom branding",jason disalvo hello invoice sent followup sales orion adjusted hello customer renewed custom branding
5815,101037953612.0,2,New Deal Wade Trim 500 _ BCM,Billing,"Jason DiSalvo      HI Jason,     Invoice sent  Follow-up sales & Orion adjusted",jason disalvo hi jason invoice sent followup sales orion adjusted
5813,101037953612.0,2,FW: Cintoo Plan Renewal,,Simon Shaw      Hello  Invoice sent  Follow-up sales & Orion adjusted,simon shaw hello invoice sent followup sales orion adjusted
5812,,2,FW: Cintoo: Your payment for a Cintoo CSD subscription was successful,,"Hi Daniel,     This comes from QA tests, to be ignored       Cyril DEGUET   Chief Architect / CISO  ",hi daniel comes qa tests ignored cyril deguet chief architect ciso
5811,,1,Cintoo: Your payment for a Cintoo CSD subscription was successful,Invalid,Invalid ticket due to QA tests,invalid ticket due qa tests
5810,101053189816.0,2,"automatically determining floor and wall areas, volume of spaces (measurements)",Cintoo Cloud,"Martial Marchesseau Tatiana Samusina Feature request  | Anis Meftah, it seems the Research team is working on this feature, right?  Martial Marchesseau, it  | Idea added [CP-188] Automatically determining floor and wall areas, volume of spaces (measurements)  | John, please can you reply to the customer before closing?  | Hi Jasper,  
   
   
   We have created a feature request for you. As we do not have an ETA when thi",martial marchesseau tatiana samusina feature request anis meftah seems research team working feature right martial marchesseau idea added cp automatically determining floor wall areas volume spaces measurements john please reply customer closing hi jasper created feature request eta thi
5808,,2,,,This ticket is closed and merged into ticket 5763,ticket closed merged ticket
5807,101026576803.0,2,RE: Cintoo: Your unified mesh Prolifics Test 001 in East Azeri project could not be generated,"Cintoo Cloud, Export Crops","Hi Justin,    You need to follow this workaround to avoid this limitation  https://help.cintoo.com/e | Hi Joao-Carlos,

I have tried this work around and am still getting errors.  Please note that the  | Wanted to get an update on this ticket  | Omar Zerhouni Seems like the client is having issues exporting the unified mesh from Cintoo. This is | John Tapia If I am not mistaken, the client is unchecking the scans in the resource explorer panel,  | @Martial, @Omar, to check if the crop saves the visibility of the scans (it used to do) and if the u | Hi Justin,    Based on my understanding, it appears that you are unchecking the scans in the Resourc | I confirm a crop is saved with the list of checked workzones and visibles files (not only scans).  B | Moving the test forward, I notice that when a crop is reloaded the files visibility is not restored. | [AEC-5947] Restore a crop with hidden scans - Jira (atlassian.net)  | @John, as Martial said, hiding the scans should work. Can you ask the customer the project name and  | Or just the crop name, since the project name is given on the email exchanges with Simon | Leonardo Hidd Fonteles Martial Marchesseau ,     There is one thing I find intriguing: user has rece | Hi Justin,    Can you provide the name of the project and crop name as this will help us reproduce t | @Omar, the front end (the viewer) do a quick check based on the gops loaded at the time the user cli",hi justin need follow workaround avoid limitation httpshelpcintoocome hi joaocarlos tried work around still getting errors please note wanted get update ticket omar zerhouni seems like client issues exporting unified mesh cintoo john tapia mistaken client unchecking scans resource explorer panel martial omar check crop saves visibility scans used u hi justin based understanding appears unchecking scans resourc confirm crop saved list checked workzones visibles files scans b moving test forward notice crop reloaded files visibility restored aec restore crop hidden scans jira atlassiannet john martial said hiding scans work ask customer project name crop name since project name given email exchanges simon leonardo hidd fonteles martial marchesseau one thing find intriguing user rece hi justin provide name project crop name help us reproduce omar front end viewer quick check based gops loaded time user cli
5806,101026576803.0,2,,"Cintoo Connect, Import Scan","Bonjour Christelle,     Je vois que tu utilises une vielle version de Cintoo Connect (2.3.0), il fau",bonjour christelle je vois que tu utilises une vielle version de cintoo connect il fau
5805,101021676710.0,2,Custom branding for vesuvius.cintoo.cloud,"Cintoo Cloud, Custom Branding, AEC-5669","Simon Shaw, it's related to this order #5675, which has been sent to DevOps (ex-SRE) team via Jira S | Cyril Deguet, How could Simon have created this Jira ticket AEC-5723? (mentioned in the History)  | Martial Marchesseau is organizing all this. Adding him here for the follow up. | Ange Abou simple: Simon created a (duplicate) Servicedesk ticket, which was converted to a Jira AEC  | Cyril Deguet ah ok. Thanks for the info. Looking forward to have the new process that we discussed i | Vesuvius and Tetra Tech branding have a high priority in the current sprint. Once Teleport complete  | Jira issue status changed to In Progress -(Automation for Jira) added this comment | Jira issue status changed to Code Review -(Automation for Jira) added this comment | Jira issue status changed to QA Validation -(Laurent Llorca) added this comment | Jira issue status changed to To be Integrated -(Claire Onidi) added this comment | Jira issue status changed to In Dev -(Automation for Jira) added this comment | Jira issue status changed to In Progress -(Martial Marchesseau) added this comment | Jira issue status changed to Closed -(Jérôme Allasia) added this comment | Jira issue status changed to Open -(Martial Marchesseau) added this comment | Jira issue status changed to Write Spec -(Martial Marchesseau) added this comment | Jira issue status changed to QA Spec -(Martial Marchesseau) added this comment | Jira issue status changed to Write Spec -(Martial Marchesseau) added this comment | Jira issue status changed to QA Spec -(Martial Marchesseau) added this comment | Jira issue status changed to Dev Review -(Martial Marchesseau) added this comment | Jira issue status changed to Code Review -(Martial Marchesseau) added this comment | Jira issue status changed to In Progress -(Martial Marchesseau) added this comment | Jira issue status changed to Code Review -(Automation for Jira) added this comment | Jira issue status changed to QA Validation -(Jérôme Allasia) added this comment | Jira issue status changed to In Progress -(Claire Onidi) added this comment | Jira issue status changed to Code Review -(Timothy Barker) added this comment | Jira issue status changed to QA Validation -(Jérôme Allasia) added this comment | Jira issue status changed to To be Integrated -(Claire Onidi) added this comment | Jira issue status changed to In Dev -(Automation for Jira) added this comment | Jira issue status changed to Validated -(Claire Onidi) added this comment | Jira issue status changed to Closed -(Cintoo Bot) added this comment",simon shaw related order sent devops exsre team via jira cyril deguet could simon created jira ticket aec mentioned history martial marchesseau organizing adding follow ange abou simple simon created duplicate servicedesk ticket converted jira aec cyril deguet ah ok thanks info looking forward new process discussed vesuvius tetra tech branding high priority current sprint teleport complete jira issue status changed progress automation jira added comment jira issue status changed code review automation jira added comment jira issue status changed qa validation laurent llorca added comment jira issue status changed integrated claire onidi added comment jira issue status changed dev automation jira added comment jira issue status changed progress martial marchesseau added comment jira issue status changed closed jrme allasia added comment jira issue status changed open martial marchesseau added comment jira issue status changed write spec martial marchesseau added comment jira issue status changed qa spec martial marchesseau added comment jira issue status changed write spec martial marchesseau added comment jira issue status changed qa spec martial marchesseau added comment jira issue status changed dev review martial marchesseau added comment jira issue status changed code review martial marchesseau added comment jira issue status changed progress martial marchesseau added comment jira issue status changed code review automation jira added comment jira issue status changed qa validation jrme allasia added comment jira issue status changed progress claire onidi added comment jira issue status changed code review timothy barker added comment jira issue status changed qa validation jrme allasia added comment jira issue status changed integrated claire onidi added comment jira issue status changed dev automation jira added comment jira issue status changed validated claire onidi added comment jira issue status changed closed cintoo bot added comment
5804,101037953612.0,2,"FW: new plan ""Pargas Stad - JH""",,"Petra Doucet Thomas Corvazier      Hello,      I've created the ticket SRE-1901 on Jira asking for t | Caroline Noel ok done ! | Thanks Thomas | Petra Doucet      Thanks Pétra,     Invoice set  follow-up sales & Orion adjusted ",petra doucet thomas corvazier hello ive created ticket sre jira asking caroline noel ok done thanks thomas petra doucet thanks ptra invoice set followup sales orion adjusted
5802,101053189816.0,2,Tony Jones Access to Cintoo,"Cintoo Cloud, Access","Hi,

I now have access.

Thank you.

Tony



",hi access thank tony
5800,101026576803.0,1,TR: EQUANS Digital: Your model GRE_BAT40_4007_EXE_ARC_000_2021.rvt in CEA 4007 project could not be imported,"Cintoo Cloud, Import CAD Models","Omar Zerhouni I got this error message while importing this Revit file through ACC Here is the file  | Hi João-Carlos Pereira Fialho,     Ok, I am on it.     Can you tell me when did you initiate the imp | João-Carlos Pereira Fialho      Keeping you posted on what I find:  The file is a central modal, mea | Hi Omar,  i gave you access to our CIntoo ACC account,and to the document in project BIM360  here is | Omar Zerhouni After importing this morning, it uploaded fine. so closing the tikcet. Looks like a ye",omar zerhouni got error message importing revit file acc file hi joocarlos pereira fialho ok tell initiate imp joocarlos pereira fialho keeping posted find file central modal mea hi omar gave access cintoo acc accountand document project bim omar zerhouni importing morning uploaded fine closing tikcet looks like ye
5799,,1,RE: [EXTERNAL] Cintoo site admins for Rivian,,This ticket is closed and merged into ticket 5516,ticket closed merged ticket
5796,101026576803.0,2,Erreur de chargement de nuages de points malgré message de succès,"Cintoo Connect, Import Structured Scans","João-Carlos Pereira Fialho We leave this to you to handle | Bonsoir Sylvain,     je vois que tu utilises un ancienne version de Cintoo Connect (2.1.1)  Peux tu  | Bonjour Joao,
Ok merci pour le regard, j'essaierai avec la dernière version !
Bonne fin de journée | John Tapia the Article for Cintoo Connect Installation has an old image with old icon,  https://help | João-Carlos Pereira Fialho I have changed the image you have an update on this ticket | Hi Feugas,  ​   J'espère que ce message vous trouve bien. Je reviens vers vous concernant le problèm | Bonjour John,
Malheureusement le souci n’est pas résolu mais je présume qu’il s’agit d’un problème  | The customer states the issue has not been resolved because the scans are very large one-by-one work | Hi Feugas,    Merci pour votre retour et les informations supplémentaires. Effectivement, il semble  | Omar Zerhouni Xavier Lamorlette   The customer is reporting an issue where scans uploaded via Cintoo",joocarlos pereira fialho leave handle bonsoir sylvain je vois que tu utilises un ancienne version de cintoo connect peux tu bonjour joao ok merci pour le regard jessaierai avec la dernire version bonne fin de journe john tapia article cintoo connect installation old image old icon httpshelp joocarlos pereira fialho changed image update ticket hi feugas jespre que ce message vous trouve bien je reviens vers vous concernant le problm bonjour john malheureusement le souci nest pas rsolu mais je prsume quil sagit dun problme customer states issue resolved scans large onebyone work hi feugas merci pour votre retour et les informations supplmentaires effectivement il semble omar zerhouni xavier lamorlette customer reporting issue scans uploaded via cintoo
5793,101021676703.0,2,Issue with BIMTrack Integration,"BIMTrack, Cintoo Cloud","Nicholas Czarnick Steven Tan I do not have a BIM account but this seems to be something wrong with t | John Tapia I will take this one | Hi Mohsen,     The BIMTrack/Newforma Connect token needs to be re-added in the Cintoo Administration | Hello,

I am on leave at the moment, returning Monday, March 4th.

Please reach out to the follo | Hi Nicholas,

Thanks for the swift reply! We will try this out once Tim Barnes is back as he is aw | Hi Mohsen,    Mark Cichy is the main Cintoo account owner and should be able to confirm if there are",nicholas czarnick steven tan bim account seems something wrong john tapia take one hi mohsen bimtracknewforma connect token needs readded cintoo administration hello leave moment returning monday march th please reach follo hi nicholas thanks swift reply try tim barnes back aw hi mohsen mark cichy main cintoo account owner able confirm
5790,101037953612.0,2,Account Deletion and Transfer billing information,"Billing, Subscription cancellation","Hi Jorge

Here are instructions to transfer the administrator rights of the Tantek Cintoo account  | Hi Simon,

Thank you for your help,
I have changed administrator role to Rodney.


Kind Regard | Just wanted to know if there is anything else that needs to be done on your side  | Simon Shaw   Hello Simon,     Is there anything I should do here ?     Thanks,     Caro | This ticket can be closed.

",hi jorge instructions transfer administrator rights tantek cintoo account hi simon thank help changed administrator role rodney kind regard wanted know anything else needs done side simon shaw hello simon anything thanks caro ticket closed
5789,101053189816.0,2,Re: how to convert xyz values to longitude and latitude values,"Coordinates System, Cintoo Cloud","John Tapia So, in fact user is importing an E57 (with X,Y,Z coordinates based on one Coordinate syst | Hi Sumith,    I understand you are working with an E57 file, which includes X, Y, Z coordinates base | Hi John,

Thank you for your prompt response and the valuable insights regarding the  x,y,z values | João-Carlos Pereira Fialho Hey Joao wondering if you can jump on this one  | John Tapia no, you can ask Dominique or Rob who has the original E57 from Oakland train station and  | Nicholas Czarnick Regarding the users last message I am hoping you can clarify this  | John Tapia I don't know what Coordinates Reference System was used on the Oakland Train Station proj | Hi Sumith,    Can you confirm the Coordinate Reference System used in your data to proceed with the ",john tapia fact user importing e xyz coordinates based one coordinate syst hi sumith understand working e file includes x z coordinates base hi john thank prompt response valuable insights regarding xyz values joocarlos pereira fialho hey joao wondering jump one john tapia ask dominique rob original e oakland train station nicholas czarnick regarding users last message hoping clarify john tapia dont know coordinates reference system used oakland train station proj hi sumith confirm coordinate reference system used data proceed
5788,101053189816.0,2,VLX G1 SiteMaker,"Import Scan, Cintoo Cloud, NavVis VLX","Hi Daniel,    Too better assist you with the issue. If you can please send me some screenshots of th | The issue is with the XML file. The Cintoo uploaded is not supporting the version I have. I’ll get y | Hi Daniel,    If you can give me a screenshot and if you can share the file this would be helpful    | see attched

[image: image.png]

 | Hi Daniel,    Let me investigate this further        John Tapia  Technical Support Manager  www.cint | Nicholas Czarnick Leonardo Hidd Fonteles Steven Tan The file he sent has no GPS Location I believe w | Thanks John, the best is to have Anis looking at the XML file to see what's not ok      @Anis, can y | Thanks Leonardo Hidd Fonteles   Can we ask the client for scan files also, to add this case to our t | Omar, we have several VLX point cloud files for test, I'd rather just check what's the issue with th | Hi Daniel,    How was this XML file generated was it using Ivion or the desktop version        John  | Leonardo Hidd Fonteles yes, but wouldnt you want to test the next version with this specific file ?  | Desktop and it’s called SiteMaker. Daniel Loney - Principal Vancouver: 604.510.1299 Cell: 604.340.91 | Omar, for the test the XML file should suffice, to check with Xavier. But let's see what Anis will f | Hi Daniel, Thanks for the information the engineer team will look into the file if there are any cha | John Tapia The ""sensor_frame.xml"" file provided by the customer is the wrong XML file to use as inpu | Hi Daniel,    I would like to confirm when  processing the data in SiteMaker did you use  ""Mesured C | Leonardo Hidd Fonteles As Nick said, the client is using the wrong XML file. The good one is the XML | Hi Daniel,   ​  From the screenshot, we can see that you are using the wrong XML file. Indeed, the s | Tickets with IDs 5821 is merged into this ticket. | Merged from ticket 5821  
      Subject: Re: VLX G1 SiteMaker  
      Description:  When I run nv_an | Maybe in this case he should contact the NavVis support? Nick, Steve, what do you think? Or do we ha | Leonardo Hidd Fonteles We do not have instructions in our Cintoo knowledge base for how to use SiteM | John, can you let the customer know that we don't have enough knowledge to help him on using SiteMak | Hi Daniel,    After talking with my colleagues based on the application you are using SiteMaker, we  | Do you have a sample XML file? I can run the conversion calculations manually and fake the file in.  | Nicholas Czarnick Do we have an example  | John Tapia sample xml attached | Hi Daniel,    Here you go        John Tapia  Technical Support Manager  www.cintoo.com",hi daniel better assist issue please send screenshots th issue xml file cintoo uploaded supporting version ill get hi daniel give screenshot share file would helpful see attched image imagepng hi daniel let investigate john tapia technical support manager wwwcint nicholas czarnick leonardo hidd fonteles steven tan file sent gps location believe w thanks john best anis looking xml file see whats ok anis thanks leonardo hidd fonteles ask client scan files also add case omar several vlx point cloud files test id rather check whats issue th hi daniel xml file generated using ivion desktop version john leonardo hidd fonteles yes wouldnt want test next version specific file desktop called sitemaker daniel loney principal vancouver cell omar test xml file suffice check xavier lets see anis f hi daniel thanks information engineer team look file cha john tapia sensorframexml file provided customer wrong xml file use inpu hi daniel would like confirm processing data sitemaker use mesured c leonardo hidd fonteles nick said client using wrong xml file good one xml hi daniel screenshot see using wrong xml file indeed tickets ids merged ticket merged ticket subject vlx g sitemaker description run nvan maybe case contact navvis support nick steve think ha leonardo hidd fonteles instructions cintoo knowledge base use sitem john let customer know dont enough knowledge help using sitemak hi daniel talking colleagues based application using sitemaker sample xml file run conversion calculations manually fake file nicholas czarnick example john tapia sample xml attached hi daniel go john tapia technical support manager wwwcintoocom
5787,101021676713.0,2,Share link question,,"Hi Jack,    This is occurring because when you are clicking the icon to share the link, you only hav | Hi Jack,    To include multiple work zones in a sharing link, start in the DATA tab, select the root",hi jack occurring clicking icon share link hav hi jack include multiple work zones sharing link start data tab select root
5783,101021676705.0,2,SSO issues for bp B2B users,"Cintoo Cloud, SSO","Sorry, here is the message that they are receiving. I'm pretty confident based on the message that t | Leonardo Hidd Fonteles Thomas Corvazier Hi could you check this. It is for the US BP account: bpwest | Hi Christopher,    Your account bpwest.cintoo.cloud is configured to force all the users to login wi | Thomas,

Thank you. I am working with our IT team, but I thought I would check. We have had SSO si | Simon Shaw Salomon Mayengue FYI | Thomas Corvazier see the email from BP last week below, there is a 99% chance they broke the applica | We are waiting on the customers IT Team correct | Have we followed up with BP to ensure they corrected the application setup and user provisioning in  | João-Carlos Pereira Fialho I am checking back on this ticket to see where we stand on the process fo | John Tapia the CSM is Steven, but the issue is to see with SRE team | João-Carlos Pereira Fialho Steven Tan Thanks Joao for that information  | Not really for SRE since there is nothing to do on Cintoo side and the customer already acknowledged | Hello

If there is an issue, then Chris Anderson should contact Kingsley Ebruke Kingsley.Ebruke@uk",sorry message receiving im pretty confident based message leonardo hidd fonteles thomas corvazier hi could check us bp account bpwest hi christopher account bpwestcintoocloud configured force users login wi thomas thank working team thought would check sso si simon shaw salomon mayengue fyi thomas corvazier see email bp last week chance broke applica waiting customers team correct followed bp ensure corrected application setup user provisioning joocarlos pereira fialho checking back ticket see stand process fo john tapia csm steven issue see sre team joocarlos pereira fialho steven tan thanks joao information really sre since nothing cintoo side customer already acknowledged hello issue chris anderson contact kingsley ebruke kingsleyebrukeuk
5782,,2,Re: Cintoo Demo,Cintoo Cloud,"Nicholas Czarnick Steven Tan João-Carlos Pereira Fialho I believe this ticket belongs to you for a d | Not for me as this is an Alex customer, so it is a US based. I assume he is on AEC sector (to be che | Hey Joao,

I will get in touch with Alexander. Thank you!

To schedule a meeting click here<http | I have got this.

To schedule a meeting click here<https://meetings.hubspot.com/alex-galvan>

Al | Ange Abou What should we do with this ticket who do we assign it to  | Alex Galvan I wanted to know what would you like for us to do with the ticket  | Hi John,

We can close this out, I am working with him.

Thanks!

To schedule a meeting click ",nicholas czarnick steven tan joocarlos pereira fialho believe ticket belongs alex customer us based assume aec sector che hey joao get touch alexander thank schedule meeting click herehttp got schedule meeting click herehttpsmeetingshubspotcomalexgalvan al ange abou ticket assign alex galvan wanted know would like us ticket hi john close working thanks schedule meeting click
5781,101037953612.0,2,FW: Cintoo - Scan capacity increase,Billing,"Simon Shaw      Hello,     Subscription upgraded to 2,000 scans + BCM. Next invoice will reach 541.9",simon shaw hello subscription upgraded scans bcm next invoice reach
5776,101053189816.0,2,how to convert xyz values to longitude and latitude values,Cintoo Cloud,"John Tapia the fisrt answer is No. But you can ask to understand the need/use case, what the ueser i | Hi Sumith,    At this time no. But can I ask the need and use case to what you are trying to achieve",john tapia fisrt answer ask understand needuse case ueser hi sumith time ask need use case trying achieve
5775,101026576803.0,1,Warning: User Sylvain LEMASSON working for Competitor,Cintoo Cloud,"Ange Abou Leonardo Hidd Fonteles What do we do with this ticket  | @John, this ticket is more about João informing us (support) and sales team to be careful when this  | John Tapia Leonardo Hidd Fonteles yes right, it can be closed, and hopefully everyone noted this use",ange abou leonardo hidd fonteles ticket john ticket joo informing us support sales team careful john tapia leonardo hidd fonteles yes right closed hopefully everyone noted use
5774,101053189816.0,2,Need clarification,Cintoo Cloud,"John Tapia The first answer would be No, but need to clarify, the 360° images exported from Cintoo ( | see also ticket #5776 that looks like to be somehow linked | Hi Drakshayani,    At this time no, but I need to clarify that  the 360° images exported from Cintoo",john tapia first answer would need clarify images exported cintoo see also ticket looks like somehow linked hi drakshayani time need clarify images exported cintoo
5771,101021676710.0,2,Teleportation feature,Cintoo Cloud,"Martial Marchesseau Tatiana Samusina Feature Request | Leonardo Hidd Fonteles Tatiana Samusina Martial Marchesseau Hi, BP want to know when the Teleportati | Hi Raksapadjar,  
   
   
   Sorry for the very late reply, you have probably noticed that we have r | Hi no problem, the feature is awesome.

Regards,
Raksa

",martial marchesseau tatiana samusina feature request leonardo hidd fonteles tatiana samusina martial marchesseau hi bp want know teleportati hi raksapadjar sorry late reply probably noticed r hi problem feature awesome regards raksa
5769,101021676703.0,2,Cintoo Links,"shared url, Cintoo Cloud","Hi Marco,    Can you provide a link for me and add me to the project so I can see if it happens as w | Hi John,

These two projects it happens most often:


  1.  Timmins WFP Backwash Upgrades: http | John Tapia I will take this one | Hi Marco,    John has looped me in on your inquiry. When you say ""new generated links"" and  ""new lin | Hi Nicholas, yes that’s the exact link I’m referring to.
I turn on the ‘Require a user to be a memb | I was able to open up the project just FYI | Hi Marco,    Thanks for confirming. Do you disable the expiration date setting before generating the | Nick, we can confirm that the 2 shared links that Marco sent us have a expiration date set: | Hi Marco,    Following up on this item. Make sure to disable the expiration date setting before gene | Hi Nicholas,

I think that was the issue…thanks for the support!

Thanks,

Marco Angilletta - ",hi marco provide link add project see happens w hi john two projects happens often timmins wfp backwash upgrades http john tapia take one hi marco john looped inquiry say new generated links new lin hi nicholas yes thats exact link im referring turn require user memb able open project fyi hi marco thanks confirming disable expiration date setting generating nick confirm shared links marco sent us expiration date set hi marco following item make sure disable expiration date setting gene hi nicholas think issuethanks support thanks marco angilletta
5767,101053189816.0,2,Specific name for 3D view in Revit for uploading BIM Model by ACC,"Revit, Cintoo Cloud","Nicholas Czarnick Hey Nick I don't have Revit to recreate this  | John Tapia This is a feature request. Currently there is no mechanism to control/select which 3D vie | Martial Marchesseau This is a feature request  | Omar Zerhouni does the Autodesk SDK allows to access Revit 3D views? If so we can imagine to store o | Hey John Tapia, for everything related to import, dont hesitate to refer to me.     @Martial, I will | Omar Zerhouni Do we have the Jira ticket for this feature request | John Tapia added the reference for JIRA ticket",nicholas czarnick hey nick dont revit recreate john tapia feature request currently mechanism controlselect vie martial marchesseau feature request omar zerhouni autodesk sdk allows access revit views imagine store hey john tapia everything related import dont hesitate refer martial omar zerhouni jira ticket feature request john tapia added reference jira ticket
5764,,2,RE: Cintoo Educational PO,,"Dear Daniel,
Many thanks.
Can Francesco use the same account he already has? Or does he need to
c | Daniel Chamorro      Hi Daniel,     Can you send me the PO ?      Thanks,     Caro | Hi Caroline,

See attached.

Best regards,
Daniel

 | Hello     Invoice sent  Follow-up sales & Orion adjusted | Hi Giorgia,

Francesco should now be able to access his new Cintoo account.

Best regards,
Dani | Dear Daniel,
Many thanks.
Everything works fine.
Kind Regards and have a great weekend
Giorgia
",dear daniel many thanks francesco use account already need c daniel chamorro hi daniel send po thanks caro hi caroline see attached best regards daniel hello invoice sent followup sales orion adjusted hi giorgia francesco able access new cintoo account best regards dani dear daniel many thanks everything works fine kind regards great weekend giorgia
5763,101021676703.0,2,Cintoo connect luanching errors,Cintoo Connect,"Hi Jeff,    Sorry that you’re having an issue.   From what I see from your copy-paste of the message | John Tapia Nicholas Czarnick John can you merge with the previous ticket still opened 5763  Nick, It | João-Carlos Pereira Fialho thanks for the heads up, I will merge the ticket and follow up with the u | Tickets with IDs 5808 is merged into this ticket. | Merged from ticket 5808  
      Subject:   
      Description:  
 Hello Cintoo Support,  
 
 
 [Plea | Hi Jeff,     Ange has looped me in on your inquiry. Are you trying to upload files to a Cintoo proje | Hello Nicholas,

Thanks for the quick response.

How can I log in and get access to this platfor | Hi Jeff,    Currently there is an active, paid CIMA Cintoo subscription with many different active p | Sure, I will do this advise.  I will ask someone to invite directly to a CIMA Cintoo project.

Tha | Hi Jeff,    Sounds good, here is an article with more information once you are invited to a Cintoo p",hi jeff sorry youre issue see copypaste message john tapia nicholas czarnick john merge previous ticket still opened nick joocarlos pereira fialho thanks heads merge ticket follow u tickets ids merged ticket merged ticket subject description hello cintoo support plea hi jeff ange looped inquiry trying upload files cintoo proje hello nicholas thanks quick response log get access platfor hi jeff currently active paid cima cintoo subscription many different active p sure advise ask someone invite directly cima cintoo project tha hi jeff sounds good article information invited cintoo p
5761,101037953612.0,2,FW: NZ Steel Upgrade/Renewal - Cintoo plan upgrade,,"Simon Shaw      Thanks Simon,     i'll handle this quote on Monday     Cheers,     Caroline | Simon Shaw      Hello Simon,     Invoice sent  Follow-up sales adjusted  Orion upgraded on 02/27    ",simon shaw thanks simon ill handle quote monday cheers caroline simon shaw hello simon invoice sent followup sales adjusted orion upgraded
