Ticket Number,Agent,Priority,Subject,Tags,Conversation Summary
5643,101053189816.0,2,Cintoo access problems,"Cintoo Cloud, Access","Hi Samantha,    I am checking to see if this is the first time logging into Cintoo? If so when reset | I successfully logged in last week but now it says my account is locked. I have checked my spam fold | Salomon Mayengue I am checking to see if the account is locked? Based on the users explanation | Nicholas Czarnick Just checking with you if there is a way to see if the client is locked out or is  | John Tapia Sorry I do not have a way to check if the client is locked out.  | Cyril Deguet Thomas Corvazier Just checking to see how is the person for this week supporting | Hi Samantha,    I am checking with the team on your account.       John Tapia  Technical Support Man | Hi Samantha,    ​Can you try again and reset the password        John Tapia  Technical Support Manag | John Tapia, did you get any feedback from Dev team? I didn't see any in the tickets … | Ange Abou Yes I spoke to Thomas and he states she locked her self out he provided the link and she w"
5641,101053189816.0,2,Invite new user to the Dashboard,"members, Cintoo Cloud","Hello again!

I managed to find the way, in the ""MEMBERS"" part.

If I get some problems I will c | John Tapia Customers finds the solution by  himself, so ticket could be closed. However, before clos | Hi Knut,    I am going to send you some links to help you more: https://help.cintoo.com/support/solu"
5639,101037953612.0,2,Kahuna Signed Quote,Billing,"Hello Alex,        Can you resend me our quote? I cannot see our quote number.     Thanks,     Carol | Alex Galvan   Hello,     Invoice sent - follow-up sales adjusted     Cheers,     Caroline"
5638,,2,manual alignment,"Alignment Tool, Cintoo Cloud, VIEWER-1151","Hi Jon,    Would you like to conduct a teams call so we can see what is going on       John Tapia  T | Sure. How about 22 minutes?

Get Outlook for iOS<https://aka.ms/o0ukef>
_________________________ | Hi Jon,    I will send the meeting request for 4:30pm PST my time I will send the invite       John  | Perfect

Get Outlook for iOS<https://aka.ms/o0ukef>
________________________________
 | After meeting with customer, issue seems to be specific to the ""Reference"" selection in the Manual A | Hi Jon,    Thanks for giving me access to your project. I was able to investigate further and determ | Martial Marchesseau Leonardo Hidd Fonteles Guillaume Hercod Possible bug with the Alignment Tool to  | Thanks Nick, we will check this  | Claire Onidi Mathieu Notheber I share the Freshdesk ticket with you to get the steps to reproduce fr | Jira issue status changed to Dev Review -(Mathieu Notheber) added this comment | Jira issue status changed to Ready -(Adrien Berthet) added this comment | Jira issue status changed to In Progress -(Adrien Berthet) added this comment | Jira issue status changed to Code Review -(Automation for Jira) added this comment | Jira issue status changed to QA Validation -(Adrien Berthet) added this comment | Jira issue status changed to To be Integrated -(Claire Onidi) added this comment | Jira issue status changed to In Dev -(Automation for Jira) added this comment | Jira issue status changed to Validated -(Claire Onidi) added this comment | Jira issue status changed to Closed -(Cintoo Bot) added this comment | Hi Jon,    Our development team has implemented a fix for the Alignment Tool issues. We appreciate y"
5637,101037953612.0,2,CG3D Renewal,Billing,"Alex Galvan      Hello,     Invoice sent  Follow-up sales adjusted   Orion extended to be downgraded | Hello  Subscription downgraded to 1,000 scans"
5633,101026576803.0,2,Hogeweide brug; full control,"Cintoo Cloud, Move projects, AEC-5626","Hi Marcel,    I can't give you the ownership has this project is on my account.  I will ask if the p | Tatiana Samusina Hello Tatiana. Can you move the following project  Hogeweidebrug   https://aec.cint | Olivier Beltrando  | Jira issue status changed to Write Spec -(Olivier Beltrando) added this comment | Jira issue status changed to Dev Review -(Olivier Beltrando) added this comment | Jira issue status changed to Ready -(Olivier Beltrando) added this comment | Jira issue status changed to In Progress -(Olivier Beltrando) added this comment | Jira issue status changed to Pending -(Olivier Beltrando) added this comment | Hi João-Carlos Pereira Fialho , Tatiana Samusina ,  Queries are ready for DevOps team for review and | Jira issue status changed to In Progress -(Thomas Corvazier) added this comment | Jira issue status changed to In Review -(Thomas Corvazier) added this comment | Hi João-Carlos Pereira Fialho , Tatiana Samusina ,  Commands have been performed by the DevOps team. | Jira issue status changed to Closed -(Olivier Beltrando) added this comment | Hi Marcel,    You should have now the project hogeweide brug into your account, and you should be ab | Hi Carlos

Yes it works!

Kind regards,
Marcel Ghidini

Verzonden vanaf Outlook voor Android<"
5630,101026576803.0,2,RE: [External] Cintoo Cloud Free Trial,"Cintoo Cloud, 3D View , 3D Model","Hi Hayder,    Can you give me access to your project (joao.fialho@cintoo.com as BIM/VDC manager) to "
5627,101021676710.0,2,"3D View ""Wizard"" Tool","wizard, Cintoo Cloud","Dom, Martial, just to let you know that some Toyota persons are wondering if removal of the wizard i | Hi Andrew,  
   
   
   Yes, we have decided to remove the wizard for now, the way it was implemente | •• PROTECTED 関係者外秘

Leonardo,

I understand the situation.  Thank you for the information.

Re | The help information (from the old wizard) are back in the Knowledge Base. It can now be accessible  | Hi Andrew,    The help information (from the old wizard) are back in the Knowledge Base. It can now "
5626,101021676708.0,2,rte-jump.cintoo.cloud - Token api cintoo,"Login, Cintoo API","João-Carlos Pereira Fialho I will assign the ticket to you | Ange Abou Olivier Beltrando Hello, who can help this customer on connecting to API? Thks | The customer is RTE. They have custom branding (https://rte-jump.cintoo.cloud/) | Hi Joao, I will proceed.  | Bonjour Paco,     Joao m'a transmis votre question sur Cintoo API.  Merci pour votre initiative d'ut"
5623,101026576803.0,2,Issue to import dwg into Cintoo platform,"Cintoo Cloud, 3D DWG, Import CAD Models","Just FYI on this ticket  | Leonardo Hidd Fonteles Omar Zerhouni We got now SIEMENS ENERGY customer who starts to be ""angry"" (se | Hi João-Carlos Pereira Fialho      I have a (hopefully) good news. The models are working in our dev | Omar Zerhouni Thks can we have a more precise date as the customer needs to upload these files ASAP | If all the tests succeed, we are hoping for a release before 2nd February.     I asked QA to priorit | Hi Naveen,    Our team founds the issues. The fix is on QA phase, if all goes well it should be avai | Hi Naveen,     In order to hellp you in getting your files to Cintoo until we release the fix,  Here | Out of office

 | Hi João-Carlos Pereira Fialho   As promised, we released the new version of Model Importer before th | Hi Naveen,    Finally, we release the new import DWG from Disk in production, so your DWG files shal"
5621,101026576803.0,2,Manual alignment tool - difference between ACC alignment and Cintoo alignment,"Cintoo Cloud, Align Scan & BIM","Hi Lars,     First of all, best wishes and happy new year 2024.     Could you give me access to your | Hi Skander. I got exactly the same issue last week when trying to align with the scans one NWD model | Hi João,

Best wishes to you as well!

I have added you to the specific workzone that is affecte | John Tapia I have exchanged fles and get access to customer project. I was able to align the models."
5616,101026576803.0,2,Cintoo Comment Exports with Coordinates,"Cintoo Cloud, Reports, Annotations","Leonardo Hidd Fonteles I wanted to send this to a PM, as it has already been requested by other cust | Hi Aaron,     ​It is not yet possible.  ​However we take your request, and I will ask to the Dev tea | Thank you for looking into it an answering!

Have a great day
Aaron



AaronHunt
Senior Engi | Can so
Wine assist Aaron on his request below?

Thx.

Rob Rasnic

Chief Sales Officer

Cint | Let me know what the status of this ticket | This is a feature request Martial Marchesseau  | Idea added [CP-198] Export project report as CSV - Cintoo Portfolio - Jira Product Discovery (atlass"
5613,101017248884.0,2,INC0697470 || Ivanti Connect Secure VPN,security,"John Tapia, why do you think it's spam? ... e-mail domain admtl.com is from the customer ""Aéroport d | Ange Abou John Tapia yes of course it's not spam ;) ADM often get back to us when a new vulnerabilit | Bonjour  ​   Je vous confirme que Cintoo n'utilise pas Ivanti     Cordialement         Cyril DEGUET "
5612,101037953612.0,2,VTEK Renewal,Billing,"Alex Galvan      Hello,     Invoice sent   Follow-up adjusted"
5610,101053189816.0,2,FARO Ordered FLS Scans from FARO M70 + PANO CAM not uploading to CINTOO,"Cintoo Connect, FLS, Import Structured Scans","Hi Adam,    It seems you have 2 tickets open one for uploading and another for exporting. I would to | John Tapia it is the same ticket send 2 times by the customer. It doesn't concern import.  Only impo | John Tapia The workaround is in the last reply of ticket https://help.cintoo.com/a/tickets/5414  We  | João-Carlos Pereira Fialho If I understand correctly, the workaround is to export structured E57 fro | In fact, they are using a new function in Faro Scene, called PanoCam, where you create a new ""scan p | Good to know, thanks!"
5609,101053189816.0,2,FARO Ordered FLS Scans from FARO M70 + PANO CAM not uploading to CINTOO,"Cintoo Connect, FLS","Hi Adam,    Can you provide me the messages tab in Cintoo Connect and let me know if there are any e | [cid:image001.png@01DA4ACE.73B0DCA0]

Adam Guadagnoli
CAD Designer
Arcadis Professional Services | Hi Adam,    Thanks for that information in them messages tab can you send me a screenshot as well    | [cid:image001.png@01DA4ACF.0E4F88B0]

Adam Guadagnoli
CAD Designer
Arcadis Professional Services | Hi Adam,    Adam can you provide access to the scans as well as the project for us to further invest | Hi Adam,    Here is my email and also can you Nicholas a collegue of mine that will also help me wit | Hi Adam,    You can upload the files here:Ticket 5609 this way we can see what is going on.       Jo | Nicholas Czarnick Hey Nick if you get a chance to see if you can help me with this.  | John Tapia Customer should try exporting structured E57 from Faro SCENE using these steps: Generate  | Hi Adam,    Please try the following:     Try exporting structured E57 from Faro SCENE using these s"
5606,101026576803.0,2,Bitte um Freigabe für das Projekt BASF Ludwigshafen.,"Cintoo Cloud, Projects","João-Carlos Pereira Fialho Leonardo Hidd Fonteles Ange Abou Any working with some on this request? R | John, Siemens Energy is followed up by João and Petra. I don't have info on what is this request abo | Leonardo Hidd Fonteles John Tapia I will reply to him.  Don't know exactly what's about, but I'm sus | Hi Thomas,    If you need access to Ludwigshafen project on Cintoo, you need to request the access t"
5605,101053189816.0,2,Range Filtering on Annotations,"Cintoo Cloud, Scan Sprites","Hi Warren,    Not an issue I will create this feature request for you        John Tapia  Technical S | Hi Warren,    Thank you for submitting your feature request for ""Display Range Filtering for Annotat | Hi Martial Marchesseau, an idea for JPD for you. Cheers | Idea created [CP-92] Range filtering for all sprites - Cintoo Portfolio - Jira Product Discovery (at | Ange Abou Since this is a suggestion I believe we should close the ticket | Yes, we can close it. We have no ETA yet. "
5604,101021676713.0,2,FW: Whirlpool Cintoo Access Issue,,"Hi Brendan,    I do not believe we have made any changes on our end and I have not seen any log in i | This is what I get, with no request to sign into Whirlpool like I used to:

[image: image.png]

 | Steven,

Nevermind, I think I figured it out.  There was a firewall issue when I was
in one of fa | Hi Brendan,    Understood. Thanks for letting me know. I will close the ticket. If this issue comes "
5603,101053189816.0,2,Article Feedback - Import & Display 360° Images (Beta),"Import 360image, Cintoo Cloud","Hi Stephen,    As stated in the document JPG and PNG as this is still in beta.       John Tapia  Tec |  I understand it is in beta, and the beta works great.  If the documentation could show the followin | Hi Stephen,    I will add a note on this and work with the crew to add this information        John  | Nicholas Czarnick Hey Nick I guess he is requesting we add some of this information on the documenta | John Tapia Attached is a screenshot you can add to the documentation that includes all of the inform | I love the site map feature! To simplify it would be great if I can move rotate and scale from slide | John, any feature request to submit to PO Webapp frontend Martial Marchesseau before closing? | Martial Marchesseau Request for improvement for the site map feature as well for the 360 photos  | Thanks, idea added [CP-103] ""Manual alignment tool"" set any selected nodes as the ones to be moved - | Martial Marchesseau I will go ahead and close the ticket "
5602,101053189816.0,2,3D Model upload,"BIM360, Cintoo Cloud","Hi Markus,    I believe this is not possible at this time. Please use our knowledge base article for | Nicholas Czarnick I dont think there is a function on color? | John Tapia Typically model appearance/colors need to be defined in the model authoring software befo | Hi Markus,        Typically model appearance/colors need to be defined in the model authoring softwa"
5601,101021676703.0,2,RE: integration bimtrack,"BIMTrack, Cintoo Cloud","João-Carlos Pereira Fialho Are you able to respond this user in French? Thanks | Nicholas Czarnick This issue is the Mandy is having trouble integrating BIM Track with Cintoo. She h | John Tapia This knowledge base article explains what is most likely causing the issue: Error When Sy | Hi Duvent,    ""Il semble que le message d'erreur que vous recevez soit lié aux paramètres de votre p | I John,

I have already done this manipulation:
[cid:image001.png@01DA6334.2D1C0070]

And when  | John Tapia Trying to test the workflow on my end to see if I can replicate the issue. You can let th | John Tapia I am not able to reproduce the issue reported by the user. Everything is working as expec | Hi Duvent,       Create (2) new Cintoo Annotations, (one as a NOTE, one as an ISSUE). Push the NOTE  | I John,

It’s done, one Note, one Issue

[cid:image001.png@01DA9C9C.CDAC3FE0]


[cid:image002 | Hi Mandy,     John has looped me in on you inquiry. We have identified the root cause of the issue,  | Bonjour Mandy,
Je suis en congés.
Je transfere votre mail à mon equipe support.

Kind regards
S | For context, attaching customer's direct reply to Simon outside of this ticket: | Hi Mandy,     I've escalated the Newforma Konekt (BIM Track) item to our development team for their  | Hi Nicholas,

Thank for your answer,

My export concerns crops from Cintoo in point cloud format | Hi Mandy,     Feedback from our development team is the attributes for Priority, Status, and Type in"
5599,101021676703.0,2,Company B360 Hub does not show up,"Cintoo Cloud, BIM360 Interoperability","Hi Josh,     For the BIM360 hubs that are missing, can you confirm that Cintoo has been connected to | The only one I really need currently is Crowders Hub but the only hub that shows is one from a coupl | Hi Josh, ​  If you have Account Admin access to the Crowder BIM360 hub, you need to follow the speci | Unless I am missing something – it is active


[cid:image001.png@01DA49FD.0ED90C70]

[cid:image | Hi Josh,    Thanks for confirming. Try removing the Cintoo Cloud app from the BIM360 hub by clicking | I got it to come up – removed App and added it back and our hub showed up in the list
Thanks for th | Hi Josh,    Good to hear, glad that got resolved!     Best regards,       Nicholas Czarnick  AEC Cus"
5598,101053189816.0,2,Cintoo SDK,"Cintoo Cloud, Unreal Engine","Hi Ndienye,    ​This is in development at this time. I will check with my collegues on the time fram | Nicholas Czarnick We dont have a time frame on this but sometime this year. | John Tapia I'm not sure on time frame | Hi Ndienye,    Yes we do not have a time frame on this but sometime this year you can check back in  | Hello John,

Thank you for your response.

It is a good initiative and I will check back later i"
5594,101037953612.0,2,PO036915 : V01226 - Cintoo US Inc.,Billing,"Thank you Naomi,

Would you happen to have the name/surname of your end user? This can be helpful  | Daniel Chamorro       Hi Daniel,     I cannot see this trial account on Orion.  Can you ask the cust | Hi Daniel

Contact person is Logan Hesse.
Mob 0448 870 547

Question, when the licences have be | Thanks Naomi,

The end users receives an automatic email when their account is created, however th | Hi Daniel,

Thank you.

I will close off the order on our end as completed.

Kind Regards
Nao | Daniel Chamorro Let me know the status of the ticket | Hi Daniel,     Invoice sent  Follow-up sales & Orion adjusted"
5591,101037953612.0,2,RLG Renewal,Billing,"Alex Galvan      Hello,  Invoice sent  Follow-up sales adjusted  Cheers,     Caroline"
5590,101037953612.0,2,FW: Cintoo 2024 Renewal,Billing,"Simon Shaw   Thanks Simon,  Follow-up sales adjusted  His subscription will end on Orion on 01/27/24"
5588,101021676713.0,1,Account transfer,"Cintoo Cloud, Account","Nicholas Czarnick Checking to see which team would handle this  | Steven Tan FYI this is for Ontario Power. See if Ontario Power is able to transfer account ownership | Thanks Nick. Ill take care of the issue. | I am checking back to see if I can get an update  | Hey Steve any update on this ticket  | John,      We ended up adding in the new admin and transferring the account ownership over. "
5586,101026576803.0,2,RE: Model Viewer Error,"Cintoo Connect, Import Scan, e57","Hi Luke,    I will be available on friday morning.  Please invite me in your project (joao.fialho@ci | Omar Zerhouni There is a strange behaviour with the E57. I'm suspecting the E57 file to be ""corrupte | Xavier Lamorlette for information | Opening in CloudCompare :    I clicked to yes to all    So, João-Carlos Pereira Fialho I guess the c | Omar Zerhouni no deadline, but the customer have tens (like 40) of these buildings to import, and al | In your workaround description, when you opened the e57 in FARO Scene LT and export it back to e57,  | Omar Zerhouni   I agrre the resolution changes, so that's why i'm suspecting the E57 to have ""bad po | Leonardo Hidd Fonteles      Leo,  I add you to the conversation as the problem might be in the viewe | Leonardo Hidd Fonteles I am checking back on this ticket  | Omar Zerhouni Leo, I see Omar was trying to reach on this and I wanted to check if there are any cha | No update on my side. Leonardo Hidd Fonteles Do you have any idea where the error might be coming fr | John Tapia Omar Zerhouni we found a workaround to allow user working. However the root cause is not  | @omar, I don't think the problem is on the viewer, it is most probably on the import phase in Cintoo | @omar, the fact that part of the point cloud is not displayed in the viewer may come from the fact t | Xavier Lamorlette  I am wondering if it is not similaire to [CONNECT-1144] Some files doesn't import | Omar Zerhouni Xavier Lamorlette The only way to validate if it is a similar issue as connect-1144 (C | Sure, please give me the original E57 and I will investigate why some part is not imported in Cintoo | João-Carlos Pereira Fialho https://cintoo.sharepoint.com/:f:/s/IA/EtCPAJnvrKpGlRjjEaNEqysB2VoFjFwFaB | Xavier Lamorlette Terrestrial Laser Scanner/fd5586.e57 - Microsoft Azure  Also added to our test fil | First, I confirm the issue.     When importing to Cintoo, I can see that:   This E57 file contains 9 | Leonardo Hidd Fonteles Xavier Lamorlette Omar Zerhouni this is a known issue with the computation of | Thanks Anis Meftah.  After discussing with Anis:   We should get a correct result by deactivating th | Thanks Xavier for the analysis. This is a very recurring problem, the lack of spherical bounds. I th | Leonardo Hidd Fonteles João-Carlos Pereira Fialho  I made a test: Recap is handling correctly these  | I am checking back on this issue with e57 import issues, in which the root cause seems to be a lack  | John Tapia here is the answer from Leo:  @joao, you can reply to the customer that some of their sca | Hi Luke,    Some of the scans provided have a problem with missing metadata, specifically the spheri"
5585,101053189816.0,2,Timeline,Cintoo Cloud,"Hi Stepan,    Thank You for bringing this to our attention. At this time this function will no longe | Hi Stepan,    I have submitted a feature request for you on this feature you were asking. At this ti | Hi John,
Thank you for response. I was just wondering what's the status of this function - if it's  | Leo, what's the final status for Timeline feature? Will it be decommissioned? Martial Marchesseau, a | I would vote for removing this old and broken feature.  Note: timeline feature is not in 2024 webapp"
5583,,2,RE: Cintoo VR issue,,This ticket is closed and merged into ticket 5582
